date, pm25, o3, no2, so2, co
2022/11/21, 29, 13, 26, , 
2022/11/22, 46, 10, 26, , 
2022/11/23, 89, 10, 29, , 
2022/11/24, 85, 18, 13, , 
2022/11/25, 38, 20, 10, , 
2022/11/26, 41, 20, 13, , 
2022/11/27, 40, 16, 9, , 
2022/11/28, 18, 15, 12, , 
2022/11/29, 31, 14, 8, , 
2022/11/30, 27, 16, 8, , 
2022/12/1, 11, 19, 10, , 
2022/12/2, 29, 23, 5, , 
2022/12/3, 20, 18, 7, , 
2022/12/4, 23, 18, 11, , 
2022/12/5, 31, 20, 11, , 
2022/12/6, 41, 16, 15, , 
2022/12/7, 60, 15, 9, , 
2022/12/8, 28, 19, 12, , 
2022/12/9, 17, 18, 8, , 
2022/12/10, 26, 12, 11, , 
2022/12/11, 35, 15, 11, , 
2022/12/12, 28, 10, 26, , 
2022/12/13, 35, 16, 16, , 
2022/12/14, 22, 21, 10, , 
2022/12/15, 23, 14, 15, , 
2022/12/16, 38, 12, 11, , 
2022/12/17, 38, 13, 8, , 
2022/12/18, 39, 16, 11, , 
2022/12/19, 26, 14, 13, , 
2022/12/20, 27, 12, 20, , 
2022/12/21, 53, 15, 13, , 
2022/12/22, 43, 21, 8, , 
2022/12/23, 14, 22, 6, , 
2022/12/24, 22, 24, 6, , 
2022/12/25, 11, 21, 9, , 
2022/12/26, 36, 20, 12, , 
2022/12/27, 48, 20, 11, , 
2022/12/28, 44, 25, 12, , 
2022/12/29, 35, 19, 11, , 
2022/12/30, 37, 18, 11, , 
2022/12/31, 38, 16, 10, , 
2023/1/1, 54, 13, 12, , 
2022/7/1, 51, 32, 8, , 1
2022/7/2, 30, 27, 8, , 1
2022/7/3, 17, 26, 17, 1, 1
2022/7/4, 26, 33, 15, , 2
2022/7/5, 54, 24, 8, , 1
2022/7/6, 19, 22, 11, , 1
2022/7/7, 28, 17, 12, , 2
2022/7/8, 36, 20, 6, , 1
2022/7/9, 26, 26, 9, 1, 1
2022/7/10, 56, 48, 12, 1, 2
2022/7/11, 53, 33, 8, , 1
2022/7/12, 38, 25, 9, , 2
2022/7/13, 32, 31, 10, , 1
2022/7/14, 26, 26, 15, , 1
2022/7/15, 35, 35, 13, , 2
2022/7/16, 40, 40, 11, , 2
2022/7/17, 42, 32, 7, , 1
2022/7/18, 22, 32, 13, , 2
2022/7/19, 55, 40, 10, , 2
2022/7/20, 31, 28, 8, , 1
2022/7/21, 40, 37, 12, 1, 2
2022/7/22, 43, 45, 8, , 1
2022/7/23, 39, 39, 6, , 1
2022/7/24, 23, 20, 7, , 1
2022/7/25, 12, 26, 15, , 1
2022/7/26, 33, 34, 17, 1, 2
2022/7/27, 53, 28, 14, , 2
2022/7/28, 50, 23, 11, , 1
2022/7/29, 18, 18, 6, , 1
2022/7/30, 24, 26, 9, 1, 2
2022/7/31, 30, 36, 8, 1, 1
2022/8/1, 35, 21, 7, , 2
2022/8/2, 24, 32, 12, , 2
2022/8/3, 25, 23, 15, , 2
2022/8/4, 32, 22, 13, , 2
2022/8/5, 32, 31, 9, , 2
2022/8/6, 31, 33, 6, , 1
2022/8/7, 33, 28, 9, , 2
2022/8/8, 20, 15, 6, , 1
2022/8/9, 7, 33, 10, 1, 1
2022/8/10, 21, 17, 7, , 1
2022/8/11, 21, 26, 7, , 1
2022/8/12, 27, 30, 13, , 1
2022/8/13, 18, 26, 9, , 1
2022/8/14, 16, 23, 12, , 2
2022/8/15, 26, 23, 9, , 2
2022/8/16, 35, 27, 13, , 2
2022/8/17, 37, 35, 13, , 2
2022/8/18, 37, 33, 15, , 2
2022/8/19, 45, 37, 14, , 4
2022/8/20, 45, 34, 8, , 2
2022/8/21, 37, 30, 11, , 2
2022/8/22, 32, 21, 7, , 2
2022/8/23, 31, 29, 11, , 2
2022/8/24, 32, 13, 8, , 2
2022/8/25, 44, 21, 7, , 2
2022/8/26, 35, 19, 7, , 1
2022/8/27, 13, 24, 8, , 3
2022/8/28, 26, 34, 7, , 1
2022/8/29, 33, 27, 9, , 1
2022/8/30, 30, 18, 7, , 1
2022/8/31, 16, 26, 9, , 2
2022/9/1, 15, 26, 18, , 3
2022/9/2, 43, 36, 9, , 3
2022/9/3, 32, 18, 4, , 1
2022/9/4, 20, 11, 6, , 1
2022/9/5, 13, 16, 8, , 1
2022/9/6, 26, 14, 10, , 1
2022/9/7, 29, 22, 16, , 2
2022/9/8, 27, 25, 19, , 4
2022/9/9, 40, 33, 15, , 2
2022/9/10, 50, 24, 13, , 1
2022/9/11, 29, 23, 9, , 1
2022/9/12, 26, 16, 16, , 2
2022/9/13, 23, 17, 11, , 2
2022/9/14, 29, 21, 7, , 
2022/9/15, 14, 16, 11, , 
2022/9/16, 21, 34, 10, , 
2022/9/17, 36, 32, 9, , 
2022/9/18, 49, 24, 10, , 
2022/9/19, 49, 18, 11, , 
2022/9/20, 27, 27, 14, , 
2022/9/21, 36, 18, 4, , 
2022/9/22, 14, 19, 4, , 
2022/9/23, 20, 20, 10, , 
2022/9/24, 18, 18, 9, , 
2022/9/25, 27, 18, 7, , 
2022/9/26, 24, 16, 14, , 
2022/9/27, 32, 10, 6, , 
2022/9/28, 22, 17, 11, , 
2022/9/29, 33, 18, 19, , 
2022/9/30, 55, 14, 12, , 
2022/4/1, 15, 30, 15, 1, 2
2022/4/2, 19, 26, 13, , 2
2022/4/3, 18, 28, 21, 1, 2
2022/4/4, 32, 30, 15, , 1
2022/4/5, 14, 28, 15, 1, 2
2022/4/6, 19, 24, 19, , 2
2022/4/7, 26, 25, 18, , 2
2022/4/8, 26, 21, 12, , 2
2022/4/9, 28, 26, 7, , 1
2022/4/10, 11, 20, 22, 4, 2
2022/4/11, 22, 33, 21, 2, 2
2022/4/12, 28, 27, 22, 2, 2
2022/4/13, 36, 30, 11, , 2
2022/4/14, 37, 35, 4, 2, 1
2022/4/15, 20, 25, 6, , 1
2022/4/16, 16, 25, 5, 1, 1
2022/4/17, 15, 21, 11, , 1
2022/4/18, 18, 21, 10, , 1
2022/4/19, 20, 25, 8, 1, 1
2022/4/20, 23, 29, 9, 1, 1
2022/4/21, 28, 29, 12, 1, 1
2022/4/22, 26, 32, 8, , 2
2022/4/23, 24, 33, 7, , 1
2022/4/24, 30, 19, 27, 1, 2
2022/4/25, 48, 20, 11, , 2
2022/4/26, 26, 17, 9, , 1
2022/4/27, 17, 30, 14, , 1
2022/4/28, 32, 28, 17, 1, 1
2022/4/29, 36, 33, 9, 1, 1
2022/4/30, 26, 32, 5, , 1
2022/5/1, 27, 23, 16, , 2
2022/5/2, 57, 26, 15, 1, 2
2022/5/3, 52, 27, 7, , 2
2022/5/4, 21, 20, 15, , 2
2022/5/5, 24, 29, 14, 1, 2
2022/5/6, 29, 36, 7, , 1
2022/5/7, 30, 32, 6, 1, 2
2022/5/8, 29, 37, 10, 5, 2
2022/5/9, 26, 43, 12, 22, 2
2022/5/10, 33, 33, 28, 4, 2
2022/5/11, 50, 34, 26, 2, 3
2022/5/12, 47, 25, 26, 7, 3
2022/5/13, 48, 25, 19, 3, 3
2022/5/14, 47, 44, 15, 3, 2
2022/5/15, 42, 31, 9, 16, 2
2022/5/16, 30, 18, 5, 47, 2
2022/5/17, 19, 22, 15, , 1
2022/5/18, 20, 32, 14, , 2
2022/5/19, 45, 33, 11, 1, 2
2022/5/20, 51, 33, 8, , 2
2022/5/21, 46, 21, 8, , 2
2022/5/22, 21, 25, 7, , 1
2022/5/23, 16, 20, 12, , 1
2022/5/24, 26, 34, 7, , 1
2022/5/25, 25, 26, 9, 1, 1
2022/5/26, 31, 29, 8, , 1
2022/5/27, 27, 31, 5, , 2
2022/5/28, 14, 32, 14, 1, 1
2022/5/29, 32, 43, 17, 1, 2
2022/5/30, 48, 46, 18, , 2
2022/5/31, 55, 21, 18, , 2
2022/6/1, 50, 23, 12, , 1
2022/6/2, 22, 38, 12, 1, 1
2022/6/3, 31, 31, 4, , 1
2022/6/4, 24, 39, 11, 1, 2
2022/6/5, 33, 32, 12, , 2
2022/6/6, 39, 31, 6, , 2
2022/6/7, 37, 27, 11, , 1
2022/6/8, 24, 27, 12, , 1
2022/6/9, 29, 25, 9, , 1
2022/6/10, 21, 38, 10, 1, 2
2022/6/11, 34, 33, 7, , 2
2022/6/12, 44, 31, 11, , 1
2022/6/13, 23, 21, 14, 1, 2
2022/6/14, 26, 30, 13, , 2
2022/6/15, 35, 38, 15, , 2
2022/6/16, 64, 28, 8, , 1
2022/6/17, 30, 26, 3, , 
2022/6/18, 21, 34, 5, , 1
2022/6/19, 24, 39, 10, 6, 1
2022/6/20, 26, 44, 18, 1, 2
2022/6/21, 50, 43, 27, , 3
2022/6/22, 65, 30, 8, , 1
2022/6/23, 26, 44, 11, 1, 1
2022/6/24, 45, 46, 13, 1, 2
2022/6/25, 35, 49, 9, , 2
2022/6/26, 44, 23, 8, , 1
2022/6/27, 16, 30, 8, 1, 1
2022/6/28, 26, 32, 18, , 2
2022/6/29, 45, 37, 19, 1, 2
2022/6/30, 45, 44, 14, 2, 2
2022/1/3, 10, 20, 16, , 2
2022/1/4, 44, 23, 10, , 1
2022/1/5, 35, 17, 16, , 2
2022/1/6, 39, 19, 18, , 2
2022/1/7, 32, 28, 20, , 2
2022/1/8, 20, 26, 8, , 2
2022/1/9, 22, 25, 11, , 1
2022/1/10, 27, 26, 17, , 2
2022/1/11, 45, 20, 19, , 2
2022/1/12, 44, 14, 28, , 3
2022/1/13, 47, 23, 12, , 2
2022/1/14, 13, 18, 15, , 2
2022/1/15, 29, 29, 16, , 3
2022/1/16, 22, 25, 12, , 2
2022/1/17, 8, 23, 18, , 2
2022/1/18, 16, 24, 12, , 2
2022/1/19, 24, 20, 17, , 2
2022/1/20, 14, 19, 30, , 4
2022/1/21, 24, 25, 25, 1, 4
2022/1/22, 44, 25, 15, , 2
2022/1/23, 22, 23, 29, , 4
2022/1/24, 31, 18, 28, , 2
2022/1/25, 28, 20, 29, , 3
2022/1/26, 14, 22, 18, , 2
2022/1/27, 44, 20, 19, , 2
2022/1/28, 22, 20, 26, , 3
2022/1/29, 21, 25, 29, , 3
2022/1/30, 35, 28, 26, 1, 3
2022/1/31, 73, 31, 16, , 2
2022/2/1, 50, 30, 18, 1, 2
2022/2/2, 22, 20, 15, , 1
2022/2/3, 17, 17, 22, , 2
2022/2/4, 22, 28, 17, , 2
2022/2/5, 20, 30, 10, 2, 1
2022/2/6, 38, 28, 17, 2, 2
2022/2/7, 52, 21, 19, , 2
2022/2/8, 31, 26, 15, 1, 2
2022/2/9, 42, 24, 15, , 2
2022/2/10, 41, 25, 13, , 2
2022/2/11, 36, 23, 11, , 2
2022/2/12, 21, 19, 17, , 2
2022/2/13, 11, 19, 22, , 2
2022/2/14, 17, 28, 23, , 2
2022/2/15, 33, 36, 12, 1, 2
2022/2/16, 47, 24, 16, , 2
2022/2/17, 44, 29, 14, , 1
2022/2/18, 8, 29, 10, , 1
2022/2/19, 20, 31, 9, 1, 1
2022/2/20, 19, 26, 14, , 2
2022/2/21, 13, 24, 22, , 3
2022/2/22, 30, 21, 12, , 2
2022/2/23, 15, 20, 19, , 2
2022/2/24, 13, 23, 18, , 2
2022/2/25, 7, 23, 33, , 2
2022/2/26, 15, 28, 12, , 2
2022/2/27, 21, 24, 17, , 2
2022/2/28, 11, 25, 23, , 2
2022/3/1, 28, 25, 20, , 2
2022/3/2, 30, 22, 16, , 1
2022/3/3, 19, 26, 24, , 2
2022/3/4, 38, 31, 19, , 3
2022/3/5, 55, 30, 11, , 3
2022/3/6, 31, 25, 16, , 2
2022/3/7, 15, 27, 17, , 1
2022/3/8, 15, 28, 15, , 2
2022/3/9, 24, 26, 21, , 2
2022/3/10, 28, 20, 23, , 2
2022/3/11, 32, 28, 13, , 2
2022/3/12, 13, 25, 11, 1, 2
2022/3/13, 30, 20, 32, 2, 3
2022/3/14, 67, 20, 28, 1, 3
2022/3/15, 28, 24, 20, 1, 3
2022/3/16, 64, 17, 34, 3, 4
2022/3/17, 57, 22, 40, 1, 3
2022/3/18, 64, 24, 12, , 2
2022/3/19, 35, 30, 8, , 2
2022/3/20, 5, 26, 20, 1, 2
2022/3/21, 24, 29, 17, 1, 2
2022/3/22, 15, 28, 11, 1, 1
2022/3/23, 14, 20, 12, 1, 2
2022/3/24, 24, 22, 13, , 2
2022/3/25, 21, 21, 11, , 2
2022/3/26, 16, 25, 7, , 1
2022/3/27, 25, 22, 14, 1, 1
2022/3/28, 8, 25, 21, 1, 2
2022/3/29, 21, 24, 21, 1, 2
2022/3/30, 21, 29, 12, 1, 2
2022/3/31, 32, 25, 15, , 2
2021/10/1, 22, 38, 9, , 2
2021/10/2, 32, 29, 10, , 2
2021/10/3, 38, 16, 9, , 
2021/10/4, 19, 12, 11, , 
2021/10/5, 24, 16, 11, , 
2021/10/6, 28, 24, 11, , 
2021/10/7, 18, 27, 8, , 
2021/10/8, 19, 24, 7, , 
2021/10/9, 12, 22, 5, , 
2021/10/10, 18, 23, 7, , 
2021/10/11, 13, 24, 13, , 
2021/10/12, 24, 21, 16, , 
2021/10/13, 33, 26, 19, , 
2021/10/14, 34, 19, 20, , 
2021/10/15, 31, 22, 8, , 
2021/10/16, 21, 24, 5, , 
2021/10/17, 16, 19, 11, , 
2021/10/18, 16, 25, 18, , 
2021/10/19, 27, 23, 22, , 
2021/10/20, 38, 25, 13, , 
2021/10/21, 30, 14, 8, , 
2021/10/22, 13, 13, 9, , 
2021/10/23, 21, 19, 17, , 
2021/10/24, 44, 18, 11, , 
2021/10/25, 18, 15, 6, , 
2021/10/26, 10, 12, 13, , 
2021/10/27, 28, 19, 14, , 
2021/10/28, 32, 22, 9, , 1
2021/10/29, 22, 22, 9, , 1
2021/10/30, 15, 22, 7, , 1
2021/10/31, 22, 20, 9, , 1
2021/11/1, 13, 18, 13, , 1
2021/11/2, 24, 15, 14, , 2
2021/11/3, 17, 13, 29, , 3
2021/11/4, 40, 17, 25, , 4
2021/11/5, 59, 29, 20, 1, 4
2021/11/6, 45, 27, 19, , 3
2021/11/7, 61, 27, 27, 1, 6
2021/11/8, 69, 16, 25, , 3
2021/11/9, 51, 11, 27, , 3
2021/11/10, 33, 25, 17, , 2
2021/11/11, 24, 23, 11, , 1
2021/11/12, 31, 16, 9, , 1
2021/11/13, 27, 16, 11, , 1
2021/11/14, 26, 14, 18, , 2
2021/11/15, 22, 17, 17, , 2
2021/11/16, 19, 31, 19, , 2
2021/11/17, 33, 20, 9, , 1
2021/11/18, 47, 18, 13, , 1
2021/11/19, 21, 24, 11, , 2
2021/11/20, 21, 24, 13, , 3
2021/11/21, 44, 20, 12, , 1
2021/11/22, 15, 17, 19, , 2
2021/11/23, 21, 20, 16, 1, 2
2021/11/24, 35, 19, 18, , 2
2021/11/25, 42, 20, 10, , 1
2021/11/26, 12, 21, 14, , 1
2021/11/27, 15, 20, 17, , 2
2021/11/28, 33, 10, 33, , 3
2021/11/29, 38, 12, 30, , 3
2021/11/30, 42, 24, 16, , 1
2021/12/1, 22, 23, 9, , 1
2021/12/2, 42, 23, 12, , 1
2021/12/3, 16, 23, 11, , 1
2021/12/4, 29, 22, 13, , 1
2021/12/5, 16, 22, 10, , 1
2021/12/6, 25, 19, 15, , 1
2021/12/7, 20, 19, 22, , 2
2021/12/8, 44, 18, 22, , 1
2021/12/9, 47, 14, 24, , 4
2021/12/10, 70, 26, 9, , 1
2021/12/11, 30, 24, 9, , 1
2021/12/12, 11, 22, 15, , 2
2021/12/13, 23, 17, 19, , 2
2021/12/14, 22, 20, 17, , 1
2021/12/15, 30, 25, 10, 2, 1
2021/12/16, 33, 20, 11, , 2
2021/12/17, 29, 19, 11, , 1
2021/12/18, 27, 21, 14, , 2
2021/12/19, 31, 17, 23, , 3
2021/12/20, 43, 19, 17, , 2
2021/12/21, 38, 22, 13, , 1
2021/12/22, 26, 20, 16, , 2
2021/12/23, 15, 19, 14, , 2
2021/12/24, 27, 17, 14, , 3
2021/12/25, 34, 20, 10, , 2
2021/12/26, 11, 16, 10, , 2
2021/12/27, 8, 16, 13, , 2
2021/12/28, 39, 12, 17, , 2
2021/12/29, 42, 13, 21, , 3
2021/12/30, 35, 11, 18, , 3
2021/12/31, 55, 17, 10, , 2
2022/1/1, 39, 22, 10, , 1
2022/1/2, 5, 24, 20, , 2
2021/7/1, 24, 18, 5, , 1
2021/7/2, 20, 27, 7, , 1
2021/7/3, 29, 26, 8, , 1
2021/7/4, 27, 40, 11, , 2
2021/7/5, 43, 29, 10, , 3
2021/7/6, 73, 16, 7, , 1
2021/7/7, 35, 14, 9, , 1
2021/7/8, 17, 12, 8, , 2
2021/7/9, 17, 25, 7, , 1
2021/7/10, 18, 25, 7, , 2
2021/7/11, 17, 28, 7, , 1
2021/7/12, 42, 27, 9, , 1
2021/7/14, 33, 39, 6, , 2
2021/7/15, 38, 35, 7, , 2
2021/7/16, 28, 21, 7, , 2
2021/7/17, 32, 28, 7, , 2
2021/7/18, 47, 33, 9, , 4
2021/7/19, 109, 38, 12, , 4
2021/7/20, 111, 21, 4, , 1
2021/7/21, 14, 24, 8, , 1
2021/7/22, 30, 50, 9, , 1
2021/7/23, 40, 39, 8, , 2
2021/7/24, 51, 35, 5, , 3
2021/7/25, 70, 43, 14, , 4
2021/7/26, 90, 35, 16, , 3
2021/7/27, 57, 19, 7, , 2
2021/7/28, 45, 31, 10, , 2
2021/7/29, 48, 23, 4, , 1
2021/7/30, 27, 25, 7, , 1
2021/7/31, 16, 22, 4, , 2
2021/8/1, 29, 31, 6, , 1
2021/8/2, 24, 37, 11, , 2
2021/8/3, 46, 38, 14, , 2
2021/8/4, 52, 37, 12, , 3
2021/8/5, 50, 44, 10, , 3
2021/8/6, 52, 41, 9, , 2
2021/8/7, 57, 47, 8, , 4
2021/8/8, 59, 39, 8, , 3
2021/8/9, 65, 31, 7, , 2
2021/8/10, 37, 37, 7, , 2
2021/8/11, 41, 35, 6, , 2
2021/8/12, 30, 31, 6, , 2
2021/8/13, 38, 27, 4, , 2
2021/8/14, 15, 21, 5, , 1
2021/8/15, 17, 24, 7, , 2
2021/8/16, 36, 30, 8, , 2
2021/8/17, 30, 18, 12, , 2
2021/8/18, 30, 51, 9, , 2
2021/8/19, 40, 34, 11, , 2
2021/8/20, 44, 20, 12, , 3
2021/8/21, 42, 40, 10, , 3
2021/8/22, 47, 40, 7, , 2
2021/8/23, 45, 43, 12, , 3
2021/8/24, 38, 37, 13, , 3
2021/8/25, 45, 35, 12, , 2
2021/8/26, 40, 22, 9, , 2
2021/8/27, 21, 24, 9, , 2
2021/8/28, 30, 35, 7, , 2
2021/8/29, 51, 30, 9, , 2
2021/8/30, 22, 25, 8, , 2
2021/8/31, 25, 22, 7, , 2
2021/9/1, 29, 24, 5, , 2
2021/9/2, 22, 24, 7, , 2
2021/9/3, 13, 27, 8, , 2
2021/9/4, 28, 29, 5, , 2
2021/9/5, 38, 23, 4, , 2
2021/9/6, 15, 39, 10, 1, 2
2021/9/7, 28, 37, 8, , 2
2021/9/8, 34, 20, 8, , 2
2021/9/9, 27, 22, 12, , 3
2021/9/10, 28, 38, 8, , 2
2021/9/11, 24, 28, 8, , 2
2021/9/12, 31, 17, 10, , 2
2021/9/13, 29, 33, 11, , 2
2021/9/14, 32, 27, 8, , 2
2021/9/15, 24, 25, 12, , 2
2021/9/16, 24, 30, 13, , 3
2021/9/17, 42, 27, 7, , 2
2021/9/18, 30, 16, 5, , 1
2021/9/19, 9, 26, 10, , 3
2021/9/20, 24, 28, 5, , 2
2021/9/21, 38, 21, 4, , 2
2021/9/22, 14, 24, 5, , 1
2021/9/23, 10, 20, 8, , 2
2021/9/24, 12, 31, 10, , 4
2021/9/25, 19, 23, 7, , 2
2021/9/26, 25, 29, 12, , 2
2021/9/27, 24, 20, 6, , 2
2021/9/28, 26, 22, 10, , 2
2021/9/29, 18, 13, 8, , 2
2021/9/30, 14, 21, 14, , 3
2021/4/1, 18, 31, 5, , 1
2021/4/2, 19, 35, 8, 1, 2
2021/4/3, 28, 32, 13, , 3
2021/4/4, 62, 29, 14, , 2
2021/4/5, 41, 33, 14, , 3
2021/4/6, 38, 33, 6, , 2
2021/4/7, 23, 46, 5, , 1
2021/4/8, 34, 30, 11, , 2
2021/4/9, 41, 32, 9, , 2
2021/4/10, 42, 36, 6, , 2
2021/4/11, 32, 29, 5, , 1
2021/4/12, 26, 19, 12, , 2
2021/4/13, 47, 29, 12, , 2
2021/4/14, 53, 20, 7, , 1
2021/4/15, 22, 15, 5, , 1
2021/4/16, 17, 19, 9, , 1
2021/4/17, 26, 30, 7, , 1
2021/4/18, 29, 36, 6, , 2
2021/4/19, 33, 27, 6, , 1
2021/4/20, 19, 26, 6, , 1
2021/4/21, 15, 28, 8, , 1
2021/4/22, 24, 40, 10, , 2
2021/4/23, 40, 48, 8, , 2
2021/4/24, 55, 32, 4, , 1
2021/4/25, 41, 33, 5, 1, 1
2021/4/26, 16, 32, 6, , 1
2021/4/27, 27, 29, 9, , 2
2021/4/28, 47, 21, 11, , 2
2021/4/29, 51, 26, 4, , 1
2021/4/30, 18, 34, 4, , 1
2021/5/1, 16, 31, 9, , 2
2021/5/2, 35, 34, 4, , 1
2021/5/3, 27, 17, 9, , 2
2021/5/4, 31, 19, 5, , 1
2021/5/5, 18, 26, 7, , 1
2021/5/6, 18, 29, 4, , 1
2021/5/7, 20, 28, 6, , 2
2021/5/8, 23, 28, 5, , 1
2021/5/9, 22, 23, 6, , 1
2021/5/10, 20, 20, 4, , 1
2021/5/11, 17, 29, 5, , 1
2021/5/12, 16, 33, 7, , 1
2021/5/13, 27, 42, 10, , 2
2021/5/14, 40, 45, 11, , 2
2021/5/15, 44, 46, 15, , 3
2021/5/16, 66, 48, 14, 1, 2
2021/5/17, 56, 56, 13, 1, 2
2021/5/18, 57, 52, 15, , 2
2021/5/19, 53, 48, 19, 1, 3
2021/5/20, 59, 58, 15, , 4
2021/5/21, 63, 32, 6, , 2
2021/5/22, 45, 22, 3, , 2
2021/5/23, 35, 31, 5, , 1
2021/5/24, 18, 45, 7, , 2
2021/5/25, 45, 37, 7, , 2
2021/5/26, 45, 30, 4, , 1
2021/5/27, 15, 23, 4, , 1
2021/5/28, 14, 27, 4, , 1
2021/5/29, 24, 31, 5, , 1
2021/5/30, 29, 44, 7, , 2
2021/5/31, 39, 51, 10, , 1
2021/6/1, 45, 48, 22, , 2
2021/6/2, 59, 34, 10, , 2
2021/6/3, 26, 47, 10, , 2
2021/6/4, 38, 66, 8, , 2
2021/6/5, 40, 57, 9, , 2
2021/6/6, 49, 37, 9, , 2
2021/6/7, 42, 23, 13, , 2
2021/6/8, 36, 28, 14, , 2
2021/6/9, 43, 27, 9, 1, 1
2021/6/10, 21, 31, 8, , 1
2021/6/11, 19, 33, 7, , 1
2021/6/12, 25, 41, 12, 1, 2
2021/6/13, 34, 30, 11, , 1
2021/6/14, 25, 30, 7, , 1
2021/6/15, 20, 31, 5, , 1
2021/6/16, 17, 43, 10, , 1
2021/6/17, 20, 39, 9, , 1
2021/6/18, 34, 36, 11, , 
2021/6/19, 38, 45, 11, , 
2021/6/20, 33, 39, 6, , 1
2021/6/21, 28, 21, 5, , 1
2021/6/22, 14, 39, 10, , 1
2021/6/23, 22, 38, 6, 1, 1
2021/6/24, 22, 36, 14, 2, 1
2021/6/25, 38, 37, 3, , 1
2021/6/26, 47, 39, 3, , 1
2021/6/27, 43, 34, 11, , 1
2021/6/28, 38, 29, 15, , 2
2021/6/29, 34, 30, 10, , 1
2021/6/30, 24, 33, 7, , 1
2021/1/4, 52, 17, 13, , 2
2021/1/5, 50, 22, 10, , 2
2021/1/6, 24, 18, 8, , 2
2021/1/7, 23, 16, 13, , 2
2021/1/8, 21, 20, 12, , 1
2021/1/9, 18, 21, 10, , 2
2021/1/10, 27, 17, 17, , 2
2021/1/11, 67, 14, 11, , 2
2021/1/12, 62, 10, 11, , 2
2021/1/13, 73, 5, 18, , 3
2021/1/14, 90, 20, 8, , 1
2021/1/15, 64, 20, 10, , 2
2021/1/16, 43, 18, 7, , 2
2021/1/17, 30, 14, 15, , 2
2021/1/18, 26, 20, 9, , 2
2021/1/19, 32, 25, 10, , 1
2021/1/20, 15, 20, 9, , 1
2021/1/21, 43, 20, 7, , 1
2021/1/22, 18, 23, 8, , 1
2021/1/23, 17, 28, 8, , 1
2021/1/24, 20, 25, 11, , 2
2021/1/25, 45, 22, 10, , 2
2021/1/26, 27, 20, 10, , 2
2021/1/27, 20, 22, 12, , 2
2021/1/28, 12, 20, 14, , 2
2021/1/29, 18, 22, 16, , 3
2021/1/30, 29, 25, 10, , 2
2021/1/31, 27, 22, 11, , 2
2021/2/1, 21, 25, 10, , 1
2021/2/2, 14, 25, 8, , 1
2021/2/3, 19, 31, 14, , 2
2021/2/4, 38, 30, 5, , 1
2021/2/5, 32, 25, 6, , 1
2021/2/6, 31, 26, 8, , 1
2021/2/7, 34, 23, 13, , 2
2021/2/8, 35, 23, 17, , 2
2021/2/9, 49, 24, 13, , 2
2021/2/10, 41, 25, 10, , 2
2021/2/11, 35, 19, 11, , 2
2021/2/12, 22, 22, 10, , 2
2021/2/13, 21, 24, 12, , 2
2021/2/14, 30, 22, 10, , 2
2021/2/15, 28, 21, 7, , 1
2021/2/16, 13, 22, 17, , 2
2021/2/17, 28, 21, 13, , 2
2021/2/18, 25, 22, 17, , 2
2021/2/19, 40, 26, 13, , 2
2021/2/20, 30, 41, 14, 1, 3
2021/2/21, 65, 33, 8, , 2
2021/2/22, 42, 31, 12, , 2
2021/2/23, 51, 30, 12, , 2
2021/2/24, 49, 25, 9, , 1
2021/2/25, 18, 31, 11, , 2
2021/2/26, 31, 30, 7, , 2
2021/2/27, 49, 28, 7, , 3
2021/2/28, 50, 30, 6, , 1
2021/3/1, 18, 28, 10, , 1
2021/3/2, 14, 25, 12, , 2
2021/3/3, 42, 25, 7, , 1
2021/3/4, 17, 30, 9, , 1
2021/3/5, 17, 28, 6, , 1
2021/3/6, 17, 29, 9, , 2
2021/3/7, 22, 29, 17, 2, 3
2021/3/8, 43, 27, 17, , 2
2021/3/9, 56, 45, 17, , 3
2021/3/10, 59, 39, 7, , 2
2021/3/11, 48, 30, 7, , 2
2021/3/12, 19, 31, 6, , 1
2021/3/13, 16, 32, 6, , 1
2021/3/14, 23, 29, 6, , 1
2021/3/15, 16, 30, 7, , 1
2021/3/16, 26, 20, 15, 1, 2
2021/3/17, 56, 32, 7, , 2
2021/3/18, 36, 30, 7, , 2
2021/3/19, 16, 31, 14, , 4
2021/3/20, 34, 29, 17, 1, 5
2021/3/21, 52, 35, 20, 1, 4
2021/3/22, 52, 42, 17, , 4
2021/3/23, 56, 24, 12, , 2
2021/3/24, 42, 28, 11, , 2
2021/3/25, 44, 21, 6, , 2
2021/3/26, 27, 25, 4, , 1
2021/3/27, 27, 24, 5, , 1
2021/3/28, 23, 32, 4, , 1
2021/3/29, 19, 42, 5, 3, 1
2021/3/30, 25, 33, 7, 2, 2
2021/3/31, 31, 27, 5, , 1
2020/10/1, 20, 13, 10, , 1
2020/10/2, 20, 19, 8, , 1
2020/10/3, 17, 14, 11, , 2
2020/10/4, 35, 21, 11, , 1
2020/10/5, 31, 27, 7, , 1
2020/10/6, 25, 20, 7, , 1
2020/10/7, 32, 8, 13, , 2
2020/10/8, 18, 32, 17, , 3
2020/10/9, 35, 31, 5, , 1
2020/10/10, 40, 15, 4, , 1
2020/10/11, 12, 18, 3, , 1
2020/10/12, 18, 18, 9, , 1
2020/10/13, 19, 24, 11, , 2
2020/10/14, 20, 24, 10, , 1
2020/10/15, 23, 18, 10, , 1
2020/10/16, 18, 26, 6, , 2
2020/10/17, 21, 27, 3, , 1
2020/10/18, 26, 18, 12, , 2
